episode,startmin,stopmin,character,charas
8,27.66666667,28.73333333,Cosima,Cosima
8,32.16666667,34.61666667,Sarah,Sarah
8,32.58333333,34.61666667,Alison,Alison
8,37.6,40.35,Sarah,Sarah
8,39.08333333,39.58333333,Helena,Helena
8,40.21666667,41.91666667,Helena,Helena
8,40.53333333,41.91666667,Sarah,Sarah
9,0,0.416666667,Sarah,Sarah
9,0.616666667,1.783333333,Sarah,Sarah
9,0.9,1.783333333,Alison,Alison
9,2.15,2.883333333,Sarah,Sarah
9,2.883333333,3.55,Sarah,Sarah
9,3.55,4.016666667,Helena,Helena
9,4.016666667,4.483333333,Sarah,Sarah
9,5.783333333,6.866666667,Helena,Helena
9,6.566666667,6.9,Sarah,Sarah
9,7.916666667,9.866666667,Alison,Alison
9,9.866666667,10.93333333,Cosima,Cosima
9,9.866666667,11.45,Sarah,Sarah
9,11.45,12.26666667,Helena,Helena
9,12.26666667,12.81666667,Sarah,Sarah
9,12.81666667,13.9,Cosima,Cosima
9,13.9,14.71666667,Sarah,Sarah
9,14.71666667,14.95,Sarah,Beth
9,14.95,17.26666667,Alison,Alison
9,17.26666667,18.53333333,Sarah,Beth
9,18.53333333,19,Helena,Helena
9,19,23.2,Sarah,Sarah
9,19,20.43333333,Cosima,Cosima
9,23.2,24.66666667,Cosima,Cosima
9,24.66666667,26.46666667,Alison,Alison
9,26.88333333,27.23333333,Helena,Helena
9,27.23333333,28.01666667,Sarah,Sarah
9,28.01666667,29.18333333,Cosima,Cosima
9,30.03333333,30.56666667,Helena,Helena
9,30.21666667,32,Sarah,Sarah
9,32,33.7,Alison,Alison
9,33.7,38.41666667,Sarah,Sarah
9,34.16666667,37.98333333,Helena,Helena
9,39.18333333,39.36666667,Rachel,Rachel
9,39.76666667,41.95,Sarah,Sarah
10,0,1.95,Sarah,Sarah
10,1.166666667,1.95,Helena,Helena
10,2.533333333,4.2,Sarah,Sarah
10,2.533333333,3.833333333,Helena,Helena
10,4.2,5.25,Sarah,Sarah
10,5.25,7.683333333,Alison,Alison
10,8.3,8.983333333,Cosima,Cosima
10,8.983333333,10.73333333,Sarah,Sarah
10,10.73333333,11.58333333,Cosima,Cosima
10,11.58333333,17.4,Sarah,Sarah
10,12.56666667,14.96666667,Rachel,Rachel
10,14.96666667,17.4,Alison,Alison
10,15.36666667,17.4,Cosima,Cosima
10,18.61666667,21.91666667,Alison,Alison
10,22.76666667,23.65,Alison,Alison
10,23.65,25.3,Sarah,Sarah
10,25.3,27.61666667,Cosima,Cosima
10,27.61666667,29.08333333,Helena,Sarah
10,29.08333333,29.66666667,Sarah,Sarah
10,29.66666667,30.48333333,Alison,Alison
10,30.48333333,31.41666667,Cosima,Cosima
10,31.41666667,32.23333333,Sarah,Sarah
10,32.23333333,32.8,Cosima,Cosima
10,32.8,36.16666667,Sarah,Sarah
10,33.58333333,35.91666667,Helena,Helena
10,36.16666667,36.5,Cosima,Cosima
10,36.5,36.85,Rachel,Rachel
10,36.6,37.01666667,Sarah,Sarah
10,37.01666667,37.43333333,Alison,Alison
10,37.43333333,37.66666667,Rachel,Rachel
10,37.66666667,38.41666667,Alison,Alison
10,38.41666667,39.21666667,Sarah,Sarah
10,39.21666667,39.93333333,Cosima,Cosima
10,39.4,40.01666667,Sarah,Sarah
10,40.65,41.25,Rachel,Rachel
10,41.25,41.73333333,Cosima,Cosima
10,41.73333333,42.41666667,Sarah,Sarah
11,0,5.35,Sarah,Sarah
11,2.116666667,2.566666667,Rachel,Rachel
11,5.35,6.983333333,Sarah,Sarah
11,7.133333333,7.416666667,Sarah,Sarah
11,7.416666667,8.616666667,Cosima,Cosima
11,8.616666667,11.11666667,Alison,Alison
11,11.11666667,11.46666667,Rachel,Rachel
11,11.96666667,12.53333333,Sarah,Sarah
11,13.06666667,14.2,Sarah,Sarah
11,13.61666667,14.2,Cosima,Cosima
11,14.2,15.66666667,Alison,Alison
11,15.66666667,16,Cosima,Cosima
11,17.43333333,19.75,Alison,Alison
11,20.31666667,21.53333333,Sarah,Sarah
11,20.66666667,20.9,Alison,Alison
11,21.63333333,23.36666667,Rachel,Rachel
11,23.36666667,23.7,Sarah,Sarah
11,24.36666667,28.3,Sarah,Sarah
11,25.7,28.3,Cosima,Cosima
11,26.61666667,27.68333333,Alison,Alison
11,28.3,28.88333333,Rachel,Rachel
11,28.45,28.91666667,Sarah,Sarah
11,28.88333333,29.95,Alison,Alison
11,30.15,32.28333333,Sarah,Cosima
11,32.28333333,33.06666667,Sarah,Sarah
11,33.3,33.61666667,Sarah,Cosima
11,33.61666667,36.56666667,Rachel,Rachel
11,34.9,35.15,Sarah,Cosima
11,35.15,39.25,Sarah,Sarah
11,39.25,40.16666667,Helena,Helena
12,0,0.583333333,Helena,Helena
12,0.583333333,1.733333333,Sarah,Sarah
12,1.733333333,2.416666667,Sarah,Sarah
12,2.416666667,4.9,Alison,Alison
12,6.166666667,6.983333333,Cosima,Cosima
12,6.983333333,11.1,Sarah,Sarah
12,11.1,12.6,Cosima,Cosima
12,12.6,16.18333333,Alison,Alison
12,16.18333333,17.91666667,Sarah,Sarah
12,19.41666667,19.61666667,Helena,Helena
12,20.66666667,22.81666667,Helena,Helena
12,22.81666667,23.36666667,Sarah,Sarah
12,23.36666667,26.46666667,Alison,Alison
